,车牌号,车牌颜色,车辆种类,是否为运政车辆,辖区省,辖区市,辖区县,辖区镇,业户代码,业户名称,运营商代码,运营商名称,设备编码,终端类型,首次上传时间,最近定位时间,最近经度,最近纬度,GPS安装情况,是否上传GPS数据,年审日期,状态
0,粤GR7829,黄色,,否,广东,湛江,,,,,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10765,北斗,2018/7/25 18:03:32,2018-11-02 19:02:18,110.0477,20.6959,已安装符合部标+北斗,是,,
1,粤G23813,黄色,重型货车,是,广东,湛江,麻章,麻章,G1038321,陈秀力,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/9/28 11:18:57,2018-11-02 19:02:07,110.3192,21.2771,已安装符合部标+北斗,是,2018-03-26,营运
2,粤GM6238,黄色,重型货车,是,广东,湛江,雷州,南兴,G2009838,林新明,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/7/20 10:02:31,2018-11-02 19:00:48,110.0556,20.9414,已安装符合部标+北斗,是,2018-07-12,营运
3,粤GU6392,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/9/25 0:00:00,2018-11-02 19:01:17,113.2404,22.8236,已安装符合部标+北斗,是,2018-09-25,营运
4,粤GU6392,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/9/25 0:00:00,2018-11-02 19:01:17,113.2404,22.8236,已安装符合部标+北斗,是,2018-09-25,营运
5,粤GU6395,黄色,客运班车,是,广东,湛江,廉江,,G3000001,广东省湛江汽车运输集团有限公司五0七车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2012/9/25 0:00:00,2018-11-02 19:01:11,113.9999,22.5326,已安装符合部标+北斗,是,2018-09-06,营运
6,粤GU6398,黄色,客运班车,是,广东,湛江,廉江,石城,G3000002,廉江市第三汽车运输公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2017/8/14 7:05:24,2018-11-02 18:53:57,110.2822,21.6035,已安装符合部标+北斗,是,2018-08-16,营运
7,粤GW0693,黄色,客运班车,是,广东,湛江,吴川,海滨,G4000002,吴川市联通汽车运输有限公司,1443364866,广东恒慧信息科技有限公司,10383,北斗,2013/12/26 0:00:00,2018-11-02 19:02:51,113.4105,23.1221,已安装符合部标+北斗,是,2018-03-28,营运
8,粤GW0693,黄色,客运班车,是,广东,湛江,吴川,,G4000002,吴川市联通汽车运输有限公司,1443364866,广东恒慧信息科技有限公司,10383,北斗,2017/8/15 12:19:03,2018-11-02 19:02:51,113.4105,23.1221,已安装符合部标+北斗,是,2013-02-01,注销
9,粤G23819,黄色,重型货车,是,广东,湛江,霞山,,G1045579,湛江开发区长运物流有限公司,1443364866,广东恒慧信息科技有限公司,10383,北斗,2017/7/27 0:00:00,2018-11-02 19:01:02,110.3757,21.2553,已安装符合部标+北斗,是,2018-08-21,营运
